Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)007
1	3.0615e-017	1.	0.	3.3976e+007
2	0.	3.	0.	9.9088e+006
3	0.	1.0761	0.	2.9547e+007
4	0.	1.1589	0.	2.4691e+007
5	0.	1.2616	0.	2.1238e+007
6	0.	1.3873	0.	1.8498e+007
7	0.	1.54	0.	1.6382e+007
8	0.	1.7265	0.	1.4731e+007
9	0.	1.9524	0.	1.341e+007
10	0.	2.2292	0.	1.2297e+007
11	0.	2.5752	0.	1.1204e+007
12	1.	0.	0.	23108
13	0.99692	7.8486e-002	0.	-2.4564e+005
14	0.98768	0.15648	0.	-6.334e+005
15	0.97235	0.23351	0.	-6.245e+005
16	0.95103	0.30909	0.	-4.1613e+005
17	0.92385	0.38277	0.	18276
18	0.89096	0.45408	0.	6.408e+005
19	0.85258	0.52259	0.	1.6962e+006
20	0.80893	0.5879	0.	2.9405e+006
21	0.7603	0.64957	0.	4.9128e+006
22	0.70699	0.70723	0.	6.9781e+006
23	0.64931	0.76052	0.	9.7704e+006
24	0.58763	0.80913	0.	1.2716e+007
25	0.52228	0.85277	0.	1.5853e+007
26	0.45373	0.89114	0.	1.9309e+007
27	0.38239	0.924	0.	2.3081e+007
28	0.30867	0.95117	0.	2.5664e+007
29	0.23308	0.97246	0.	2.88e+007
30	0.15605	0.98775	0.	3.1717e+007
31	7.8064e-002	0.99695	0.	3.2497e+007
32	10.	0.	0.	9.9972e+006
33	9.321	0.	0.	9.9929e+006
34	8.642	0.	0.	9.9879e+006
35	7.9631	0.	0.	9.9665e+006
36	7.2841	0.	0.	9.9294e+006
37	6.6051	0.	0.	9.8642e+006
38	5.9261	0.	0.	9.7583e+006
39	5.2471	0.	0.	9.5808e+006
40	4.5747	0.	0.	9.3081e+006
41	3.9309	0.	0.	8.8803e+006
42	3.3332	0.	0.	8.218e+006
43	2.8371	0.	0.	7.4086e+006
44	2.4304	0.	0.	6.4219e+006
45	2.0985	0.	0.	5.177e+006
46	1.8275	0.	0.	3.8513e+006
47	1.6086	0.	0.	2.5441e+006
48	1.4305	0.	0.	1.1985e+006
49	1.2889	0.	0.	2.5321e+005
50	1.1744	0.	0.	-2.5324e+005
51	1.0804	0.	0.	-79841
52	10.	3.	0.	9.9983e+006
53	10.	2.25	0.	1.0001e+007
54	10.	1.5	0.	1.0001e+007
55	10.	0.75	0.	9.9999e+006
56	0.48836	3.	0.	1.027e+007
57	0.99276	3.	0.	1.1511e+007
58	1.5215	3.	0.	1.2408e+007
59	2.0895	3.	0.	1.2856e+007
60	2.6976	3.	0.	1.2587e+007
61	3.3349	3.	0.	1.198e+007
62	3.998	3.	0.	1.1265e+007
63	4.665	3.	0.	1.0746e+007
64	5.3319	3.	0.	1.0432e+007
65	5.9988	3.	0.	1.0233e+007
66	6.6658	3.	0.	1.0114e+007
67	7.3327	3.	0.	1.0048e+007
68	7.9996	3.	0.	1.0014e+007
69	8.6666	3.	0.	9.9995e+006
70	9.3335	3.	0.	9.9977e+006
71	1.3994	1.8066	0.	1.3013e+007
72	1.1821	1.141	0.	1.2399e+007
73	0.59624	1.3239	0.	1.6632e+007
74	1.2804	0.57109	0.	5.3182e+006
75	1.7862	0.93889	0.	9.012e+006
76	2.5544	1.9485	0.	1.1284e+007
77	0.88269	0.95207	0.	1.2373e+007
78	0.77465	1.8201	0.	1.3919e+007
