Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	3.0615e-017	1.	0.	4.0254e+005
2	0.	3.	0.	1.5052e+005
3	0.	1.0761	0.	1.4009e+006
4	0.	1.1589	0.	3.0363e+006
5	0.	1.2616	0.	3.5625e+006
6	0.	1.3873	0.	3.6826e+006
7	0.	1.54	0.	3.3549e+006
8	0.	1.7265	0.	2.8063e+006
9	0.	1.9524	0.	2.0686e+006
10	0.	2.2292	0.	1.374e+006
11	0.	2.5752	0.	6.0358e+005
12	1.	0.	0.	-1.245e+007
13	0.99692	7.8486e-002	0.	-1.1003e+007
14	0.98768	0.15648	0.	-1.039e+007
15	0.97235	0.23351	0.	-9.1302e+006
16	0.95103	0.30909	0.	-7.2822e+006
17	0.92385	0.38277	0.	-5.3458e+006
18	0.89096	0.45408	0.	-3.3714e+006
19	0.85258	0.52259	0.	-1.4618e+006
20	0.80893	0.5879	0.	-45818
21	0.7603	0.64957	0.	1.8027e+006
22	0.70699	0.70723	0.	3.0649e+006
23	0.64931	0.76052	0.	3.9972e+006
24	0.58763	0.80913	0.	4.6914e+006
25	0.52228	0.85277	0.	4.3041e+006
26	0.45373	0.89114	0.	4.0573e+006
27	0.38239	0.924	0.	3.7298e+006
28	0.30867	0.95117	0.	3.106e+006
29	0.23308	0.97246	0.	2.099e+006
30	0.15605	0.98775	0.	1.6312e+006
31	7.8064e-002	0.99695	0.	9.8127e+005
32	10.	0.	0.	16633
33	9.321	0.	0.	23815
34	8.642	0.	0.	41111
35	7.9631	0.	0.	78138
36	7.2841	0.	0.	1.3693e+005
37	6.6051	0.	0.	2.0988e+005
38	5.9261	0.	0.	3.062e+005
39	5.2471	0.	0.	4.3486e+005
40	4.5747	0.	0.	5.8105e+005
41	3.9309	0.	0.	6.8367e+005
42	3.3332	0.	0.	6.996e+005
43	2.8371	0.	0.	6.3481e+005
44	2.4304	0.	0.	4.7817e+005
45	2.0985	0.	0.	2.1716e+005
46	1.8275	0.	0.	-2.0242e+005
47	1.6086	0.	0.	-9.7451e+005
48	1.4305	0.	0.	-2.3096e+006
49	1.2889	0.	0.	-3.4273e+006
50	1.1744	0.	0.	-5.8459e+006
51	1.0804	0.	0.	-9.7995e+006
52	10.	3.	0.	-2111.9
53	10.	2.25	0.	-645.13
54	10.	1.5	0.	3093.2
55	10.	0.75	0.	10945
56	0.48836	3.	0.	1.1263e+005
57	0.99276	3.	0.	5638.6
58	1.5215	3.	0.	-1.6217e+005
59	2.0895	3.	0.	-1.9587e+005
60	2.6976	3.	0.	-1.3005e+005
61	3.3349	3.	0.	-30826
62	3.998	3.	0.	29974
63	4.665	3.	0.	61958
64	5.3319	3.	0.	54951
65	5.9988	3.	0.	35070
66	6.6658	3.	0.	22516
67	7.3327	3.	0.	14339
68	7.9996	3.	0.	8639.7
69	8.6666	3.	0.	4677.8
70	9.3335	3.	0.	334.44
71	1.3994	1.8066	0.	-1.3285e+006
72	1.1821	1.141	0.	-2.493e+006
73	0.59624	1.3239	0.	8.8542e+005
74	1.2804	0.57109	0.	-2.7709e+006
75	1.7862	0.93889	0.	-1.6307e+006
76	2.5544	1.9485	0.	-4.0834e+005
77	0.88269	0.95207	0.	-1.1863e+006
78	0.77465	1.8201	0.	70230
79	3.8716	1.5011	0.	2.9456e+005
80	8.6601	1.4453	0.	25694
81	6.0955	1.5014	0.	1.7381e+005
82	1.0546	0.57495	0.	-2.9508e+006
83	0.40572	1.1367	0.	2.5349e+006
84	0.63406	1.0524	0.	1.0798e+006
85	1.1256	0.37473	0.	-4.4899e+006
86	2.7166	0.92646	0.	78281
87	0.19385	1.1445	0.	2.8372e+006
88	1.5096	0.37401	0.	-1.6895e+006
89	0.25855	1.3518	0.	3.1087e+006
90	1.0972	0.76824	0.	-2.7006e+006
91	1.166	0.14659	0.	-5.7017e+006
92	1.0216	1.3737	0.	-1.6796e+006
93	2.008	0.56899	0.	-4.7292e+005
94	4.6636	1.5019	0.	3.125e+005
95	2.034	1.2475	0.	-1.2722e+006
96	0.87123	0.6857	0.	-1.1891e+005
97	1.2569	0.74934	0.	-2.8278e+006
98	1.4581	1.1652	0.	-2.3883e+006
99	0.62213	0.85704	0.	3.6546e+006
100	0.75176	1.1535	0.	-3.1036e+005
101	0.57904	2.31	0.	4.7231e+005
102	7.3483	1.4439	0.	79445
103	1.3478	0.27724	0.	-2.7338e+006
104	1.7418	2.4737	0.	-3.9152e+005
105	0.43341	1.0343	0.	3.0062e+006
106	1.5644	0.74024	0.	-2.0673e+006
107	1.2819	2.3276	0.	-4.7126e+005
108	9.2211	1.8438	0.	8655.4
109	9.2281	1.151	0.	16370
110	5.7102	0.75792	0.	3.2488e+005
111	0.3623	1.9128	0.	1.6152e+006
112	0.38191	1.3503	0.	2.4593e+006
113	3.6244	0.67351	0.	5.8624e+005
114	5.7542	2.2579	0.	90100
115	0.67554	1.6449	0.	5.2618e+005
116	2.037	1.9842	0.	-8.6737e+005
117	0.2566	1.0534	0.	2.5668e+006
118	1.1418	0.26417	0.	-5.2648e+006
119	0.88314	0.81676	0.	-7.9753e+005
120	0.98793	0.47058	0.	-3.7038e+006
121	1.687	0.19717	0.	-7.406e+005
122	0.58085	0.94118	0.	2.759e+006
123	3.1783	1.7877	0.	-31473
124	6.9583	0.75	0.	1.5218e+005
125	4.3147	2.25	0.	1.2626e+005
126	1.7394	0.44938	0.	-9.3957e+005
127	2.6123	0.44938	0.	3.9622e+005
128	7.6973	2.2024	0.	26813
129	9.611e-002	1.1164	0.	2.5666e+006
130	7.6629	0.6875	0.	95839
131	7.0362	2.2185	0.	41945
132	0.89493	1.5891	0.	-6.5495e+005
133	0.83807	1.3891	0.	-7.5057e+005
134	4.9954	0.75	0.	4.4275e+005
135	0.98311	1.1647	0.	-1.8943e+006
136	0.78593	0.88524	0.	3.238e+005
137	1.0869	1.8336	0.	-8.4194e+005
138	5.4121	1.5106	0.	2.4528e+005
139	1.9334	0.26345	0.	-1.7847e+005
140	8.4842	2.1681	0.	14551
141	8.4814	0.75	0.	48493
142	1.3299	0.94101	0.	-2.7505e+006
143	1.1425	0.91489	0.	-2.6963e+006
144	1.7573	1.4574	0.	-1.7272e+006
145	0.93974	0.54509	0.	-2.2967e+006
146	1.0491	0.29638	0.	-6.5547e+006
147	1.0232	0.39066	0.	-5.1226e+006
148	0.52651	1.1058	0.	1.9189e+006
149	5.0658	2.25	0.	1.2876e+005
150	2.9447	2.4742	0.	-1.151e+005
151	3.0581	0.54734	0.	5.37e+005
152	1.2123	1.591	0.	-1.56e+006
153	3.6297	2.3621	0.	46248
154	1.0644	0.19665	0.	-7.7753e+006
155	2.2398	0.36514	0.	1.6174e+005
156	1.3275	0.41734	0.	-2.685e+006
157	2.3362	0.72973	0.	-1.7204e+005
158	0.96292	0.63033	0.	-1.8998e+006
159	0.10227	1.2086	0.	3.3202e+006
160	0.16567	1.6216	0.	2.9296e+006
161	4.3221	0.75	0.	5.4994e+005
162	1.4844	0.16698	0.	-1.7023e+006
163	0.344	1.0375	0.	2.955e+006
164	0.97908	0.74004	0.	-1.8163e+006
165	2.3219	2.4742	0.	-3.14e+005
166	0.6145	1.1957	0.	7.7985e+005
167	2.2942	1.598	0.	-8.6659e+005
168	0.98989	0.8726	0.	-2.0412e+006
169	1.1557	0.66215	0.	-2.8356e+006
170	3.1827	1.1714	0.	2.5338e+005
171	0.76533	1.0196	0.	-1.7216e+005
172	1.0783	9.6369e-002	0.	-8.4645e+006
173	2.7385	1.3847	0.	-2.5884e+005
174	1.3022	0.11656	0.	-3.4642e+006
175	0.29931	1.1408	0.	2.8259e+006
176	0.26447	2.3356	0.	9.2008e+005
177	0.86371	2.6083	0.	42340
178	1.7057	1.194	0.	-1.9538e+006
179	0.17292	1.0568	0.	1.9633e+006
180	1.16	0.55251	0.	-3.1888e+006
181	0.48733	1.2567	0.	1.8164e+006
182	1.5597	0.57115	0.	-1.7489e+006
183	0.92103	2.1338	0.	-1.7856e+005
184	0.52062	1.003	0.	2.5931e+006
185	0.68452	0.93683	0.	1.4985e+006
186	1.3467	1.3745	0.	-2.1425e+006
187	0.88689	0.59673	0.	-9.3221e+005
188	2.059	0.84154	0.	-8.5983e+005
189	1.0952	0.47592	0.	-3.7434e+006
190	0.53631	1.775	0.	1.1679e+006
191	6.3664	0.75	0.	2.2561e+005
192	2.3649	1.1109	0.	-5.7099e+005
193	1.2322	0.3403	0.	-3.6731e+006
194	1.5449	0.94819	0.	-2.3048e+006
195	6.4028	2.25	0.	61781
196	0.21853	1.2331	0.	3.2118e+006
197	0.18115	1.8196	0.	2.3043e+006
198	0.485	1.4107	0.	1.6643e+006
199	1.232	0.22448	0.	-4.0521e+006
200	0.11701	1.3218	0.	3.5747e+006
201	1.0036	1.0267	0.	-2.1078e+006
202	9.1457	2.4679	0.	3064.9
203	9.2407	0.5625	0.	24812
204	0.18115	2.071	0.	1.6147e+006
205	1.577	2.0713	0.	-9.6906e+005
206	0.10063	1.0468	0.	1.5316e+006
207	0.7947	0.74897	0.	1.3789e+006
208	1.7788	0.68265	0.	-1.2617e+006
209	0.44256	0.95641	0.	3.4761e+006
210	0.50635	0.92817	0.	3.7138e+006
211	0.34717	1.6947	0.	2.1281e+006
212	1.4099	0.63879	0.	-2.4061e+006
213	0.40674	2.1335	0.	1.0575e+006
214	0.14672	1.4545	0.	3.397e+006
215	1.2975	2.6626	0.	-1.2377e+005
216	0.86824	1.0914	0.	-1.2759e+006
217	1.0499	0.67514	0.	-2.5313e+006
