Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	3.0615e-017	1.	0.	
2	0.	3.	0.	
3	0.	1.0761	0.	
4	0.	1.1589	0.	
5	0.	1.2616	0.	
6	0.	1.3873	0.	
7	0.	1.54	0.	
8	0.	1.7265	0.	
9	0.	1.9524	0.	
10	0.	2.2292	0.	
11	0.	2.5752	0.	
12	1.	0.	0.	
13	0.99692	7.8486e-002	0.	
14	0.98768	0.15648	0.	
15	0.97235	0.23351	0.	
16	0.95103	0.30909	0.	
17	0.92385	0.38277	0.	
18	0.89096	0.45408	0.	
19	0.85258	0.52259	0.	
20	0.80893	0.5879	0.	
21	0.7603	0.64957	0.	
22	0.70699	0.70723	0.	
23	0.64931	0.76052	0.	
24	0.58763	0.80913	0.	
25	0.52228	0.85277	0.	
26	0.45373	0.89114	0.	
27	0.38239	0.924	0.	
28	0.30867	0.95117	0.	
29	0.23308	0.97246	0.	
30	0.15605	0.98775	0.	
31	7.8064e-002	0.99695	0.	
32	10.	0.	0.	
33	9.321	0.	0.	
34	8.642	0.	0.	
35	7.9631	0.	0.	
36	7.2841	0.	0.	
37	6.6051	0.	0.	
38	5.9261	0.	0.	
39	5.2471	0.	0.	
40	4.5747	0.	0.	
41	3.9309	0.	0.	
42	3.3332	0.	0.	
43	2.8371	0.	0.	
44	2.4304	0.	0.	
45	2.0985	0.	0.	
46	1.8275	0.	0.	
47	1.6086	0.	0.	
48	1.4305	0.	0.	
49	1.2889	0.	0.	
50	1.1744	0.	0.	
51	1.0804	0.	0.	
52	10.	3.	0.	
53	10.	2.25	0.	
54	10.	1.5	0.	
55	10.	0.75	0.	
56	0.48836	3.	0.	
57	0.99276	3.	0.	
58	1.5215	3.	0.	
59	2.0895	3.	0.	
60	2.6976	3.	0.	
61	3.3349	3.	0.	
62	3.998	3.	0.	
63	4.665	3.	0.	
64	5.3319	3.	0.	
65	5.9988	3.	0.	
66	6.6658	3.	0.	
67	7.3327	3.	0.	
68	7.9996	3.	0.	
69	8.6666	3.	0.	
70	9.3335	3.	0.	
71	1.3994	1.8066	0.	
72	1.1821	1.141	0.	
73	0.59624	1.3239	0.	
74	1.2804	0.57109	0.	
75	1.7862	0.93889	0.	
76	2.5544	1.9485	0.	
77	0.88269	0.95207	0.	
78	0.77465	1.8201	0.	
79	3.8716	1.5011	0.	
80	8.6601	1.4453	0.	
81	6.0955	1.5014	0.	
82	1.0546	0.57495	0.	
83	0.40572	1.1367	0.	
84	0.63406	1.0524	0.	
85	1.1256	0.37473	0.	
86	2.7166	0.92646	0.	
87	0.19385	1.1445	0.	
88	1.5096	0.37401	0.	
89	0.25855	1.3518	0.	
90	1.0972	0.76824	0.	
91	1.166	0.14659	0.	
92	1.0216	1.3737	0.	
93	2.008	0.56899	0.	
94	4.6636	1.5019	0.	
95	2.034	1.2475	0.	
96	0.87123	0.6857	0.	
97	1.2569	0.74934	0.	
98	1.4581	1.1652	0.	
99	0.62213	0.85704	0.	
100	0.75176	1.1535	0.	
101	0.57904	2.31	0.	
102	7.3483	1.4439	0.	
103	1.3478	0.27724	0.	
104	1.7418	2.4737	0.	
105	0.43341	1.0343	0.	
106	1.5644	0.74024	0.	
107	1.2819	2.3276	0.	
108	9.2211	1.8438	0.	
109	9.2281	1.151	0.	
110	5.7102	0.75792	0.	
111	0.3623	1.9128	0.	
112	0.38191	1.3503	0.	
113	3.6244	0.67351	0.	
114	5.7542	2.2579	0.	
115	0.67554	1.6449	0.	
116	2.037	1.9842	0.	
117	0.2566	1.0534	0.	
118	1.1418	0.26417	0.	
119	0.88314	0.81676	0.	
120	0.98793	0.47058	0.	
121	1.687	0.19717	0.	
122	0.58085	0.94118	0.	
123	3.1783	1.7877	0.	
124	6.9583	0.75	0.	
125	4.3147	2.25	0.	
126	1.7394	0.44938	0.	
127	2.6123	0.44938	0.	
128	7.6973	2.2024	0.	
129	9.611e-002	1.1164	0.	
130	7.6629	0.6875	0.	
131	7.0362	2.2185	0.	
132	0.89493	1.5891	0.	
133	0.83807	1.3891	0.	
134	4.9954	0.75	0.	
135	0.98311	1.1647	0.	
136	0.78593	0.88524	0.	
137	1.0869	1.8336	0.	
138	5.4121	1.5106	0.	
139	1.9334	0.26345	0.	
140	8.4842	2.1681	0.	
141	8.4814	0.75	0.	
142	1.3299	0.94101	0.	
143	1.1425	0.91489	0.	
144	1.7573	1.4574	0.	
145	0.93974	0.54509	0.	
146	1.0491	0.29638	0.	
147	1.0232	0.39066	0.	
148	0.52651	1.1058	0.	
149	5.0658	2.25	0.	
150	2.9447	2.4742	0.	
151	3.0581	0.54734	0.	
152	1.2123	1.591	0.	
153	3.6297	2.3621	0.	
154	1.0644	0.19665	0.	
155	2.2398	0.36514	0.	
156	1.3275	0.41733	0.	
157	2.3362	0.72973	0.	
158	0.96292	0.63033	0.	
159	0.10227	1.2086	0.	
160	0.16567	1.6216	0.	
161	4.3221	0.75	0.	
162	1.4844	0.16698	0.	
163	0.344	1.0375	0.	
164	0.97908	0.74004	0.	
165	2.3219	2.4742	0.	
166	0.6145	1.1957	0.	
167	2.2942	1.598	0.	
168	0.98989	0.8726	0.	
