Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	1,25	0,25	0,	3,0766e+007
2	0,25	1,25	0,	-55330
3	1,2469	0,32846	0,	3,0348e+007
4	1,2377	0,40644	0,	2,905e+007
5	1,2224	0,48345	0,	2,6975e+007
6	1,2011	0,55903	0,	2,4288e+007
7	1,1739	0,63274	0,	2,1122e+007
8	1,141	0,70406	0,	1,7703e+007
9	1,1026	0,77259	0,	1,4201e+007
10	1,0589	0,83795	0,	1,0837e+007
11	1,0103	0,8996	0,	7,7564e+006
12	0,95696	0,95725	0,	5,096e+006
13	0,89929	1,0105	0,	2,933e+006
14	0,83761	1,0591	0,	1,3086e+006
15	0,77224	1,1028	0,	2,1298e+005
16	0,70369	1,1412	0,	-4,1527e+005
17	0,63237	1,174	0,	-6,6787e+005
18	0,55864	1,2012	0,	-6,592e+005
19	0,48305	1,2225	0,	-4,9916e+005
20	0,40604	1,2378	0,	-2,9176e+005
21	0,32805	1,2469	0,	-1,2059e+005
22	10,25	0,25	0,	9,6466e+006
23	1,3287	0,25	0,	2,6062e+007
24	1,4149	0,25	0,	2,2365e+007
25	1,5197	0,25	0,	1,9276e+007
26	1,6476	0,25	0,	1,682e+007
27	1,8054	0,25	0,	1,4901e+007
28	2,0047	0,25	0,	1,3454e+007
29	2,2476	0,25	0,	1,2407e+007
30	2,5448	0,25	0,	1,1683e+007
31	2,9119	0,25	0,	1,1186e+007
32	3,3614	0,25	0,	1,0848e+007
33	3,9076	0,25	0,	1,0612e+007
34	4,523	0,25	0,	1,0451e+007
35	5,1591	0,25	0,	1,0337e+007
36	5,7952	0,25	0,	1,0249e+007
37	6,4313	0,25	0,	1,0173e+007
38	7,0675	0,25	0,	1,0103e+007
39	7,7036	0,25	0,	1,0034e+007
40	8,3397	0,25	0,	9,9595e+006
41	8,9758	0,25	0,	9,8757e+006
42	9,612	0,25	0,	9,7754e+006
43	10,25	10,25	0,	1,e+007
44	10,25	0,90055	0,	9,6576e+006
45	10,25	1,5673	0,	9,6903e+006
46	10,25	2,2352	0,	9,7393e+006
47	10,25	2,9031	0,	9,797e+006
48	10,25	3,571	0,	9,8549e+006
49	10,25	4,2389	0,	9,9067e+006
50	10,25	4,9068	0,	9,9479e+006
51	10,25	5,5747	0,	9,9767e+006
52	10,25	6,2426	0,	9,9933e+006
53	10,25	6,9105	0,	9,9999e+006
54	10,25	7,5784	0,	1,e+007
55	10,25	8,2463	0,	9,9977e+006
56	10,25	8,9142	0,	9,9965e+006
57	10,25	9,5821	0,	9,9982e+006
58	0,25	10,25	0,	1,0002e+007
59	9,5821	10,25	0,	9,9999e+006
60	8,9142	10,25	0,	9,9997e+006
61	8,2463	10,25	0,	9,9994e+006
62	7,5784	10,25	0,	9,9991e+006
63	6,9105	10,25	0,	9,9988e+006
64	6,2426	10,25	0,	9,9986e+006
65	5,5747	10,25	0,	9,9984e+006
66	4,9068	10,25	0,	9,9986e+006
67	4,2389	10,25	0,	9,9991e+006
68	3,571	10,25	0,	9,9997e+006
69	2,9031	10,25	0,	1,e+007
70	2,2352	10,25	0,	1,0001e+007
71	1,5673	10,25	0,	1,0002e+007
72	0,90055	10,25	0,	1,0002e+007
73	0,25	9,6133	0,	9,9877e+006
74	0,25	8,9765	0,	9,95e+006
75	0,25	8,3398	0,	9,8938e+006
76	0,25	7,7031	0,	9,8187e+006
77	0,25	7,0663	0,	9,7223e+006
78	0,25	6,4296	0,	9,5967e+006
79	0,25	5,7929	0,	9,4304e+006
80	0,25	5,1562	0,	9,2001e+006
81	0,25	4,5194	0,	8,8716e+006
82	0,25	3,905	0,	8,3895e+006
83	0,25	3,3618	0,	7,7231e+006
84	0,25	2,9148	0,	6,8776e+006
85	0,25	2,5482	0,	5,8585e+006
86	0,25	2,2502	0,	4,7038e+006
87	0,25	2,0066	0,	3,4224e+006
88	0,25	1,8068	0,	2,169e+006
89	0,25	1,6486	0,	1,0281e+006
90	0,25	1,5205	0,	1,3726e+005
91	0,25	1,4154	0,	-3,9906e+005
92	0,25	1,3291	0,	-4,9952e+005
93	7,5266	7,5197	0,	1,0057e+007
