Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	1,25	0,25	0,	59674
2	0,25	1,25	0,	-1,0595e+007
3	1,2469	0,32846	0,	2,4652e+005
4	1,2377	0,40644	0,	7,8635e+005
5	1,2224	0,48345	0,	1,6034e+006
6	1,2011	0,55903	0,	2,6001e+006
7	1,1739	0,63274	0,	3,6393e+006
8	1,141	0,70406	0,	4,5825e+006
9	1,1026	0,77259	0,	5,2956e+006
10	1,0589	0,83795	0,	5,6574e+006
11	1,0103	0,8996	0,	5,5675e+006
12	0,95696	0,95725	0,	4,9799e+006
13	0,89929	1,0105	0,	3,8933e+006
14	0,83761	1,0591	0,	2,3466e+006
15	0,77224	1,1028	0,	4,3986e+005
16	0,70369	1,1412	0,	-1,7169e+006
17	0,63237	1,174	0,	-3,935e+006
18	0,55864	1,2012	0,	-6,0543e+006
19	0,48305	1,2225	0,	-7,9103e+006
20	0,40604	1,2378	0,	-9,3671e+006
21	0,32805	1,2469	0,	-1,0289e+007
22	10,25	0,25	0,	-1511,5
23	1,3287	0,25	0,	1,9051e+006
24	1,4149	0,25	0,	3,0397e+006
25	1,5197	0,25	0,	3,6796e+006
26	1,6476	0,25	0,	3,8841e+006
27	1,8054	0,25	0,	3,7416e+006
28	2,0047	0,25	0,	3,3614e+006
29	2,2476	0,25	0,	2,8631e+006
30	2,5448	0,25	0,	2,3088e+006
31	2,9119	0,25	0,	1,7822e+006
32	3,3614	0,25	0,	1,3238e+006
33	3,9076	0,25	0,	9,5138e+005
34	4,523	0,25	0,	6,7569e+005
35	5,1591	0,25	0,	4,8391e+005
36	5,7952	0,25	0,	3,4881e+005
37	6,4313	0,25	0,	2,495e+005
38	7,0675	0,25	0,	1,741e+005
39	7,7036	0,25	0,	1,1495e+005
40	8,3397	0,25	0,	68603
41	8,9758	0,25	0,	32926
42	9,612	0,25	0,	8334,8
43	10,25	10,25	0,	237,
44	10,25	0,90055	0,	-1339,1
45	10,25	1,5673	0,	-984,75
46	10,25	2,2352	0,	-505,01
47	10,25	2,9031	0,	108,09
48	10,25	3,571	0,	695,11
49	10,25	4,2389	0,	1071,7
50	10,25	4,9068	0,	1163,1
51	10,25	5,5747	0,	1012,4
52	10,25	6,2426	0,	784,91
53	10,25	6,9105	0,	498,56
54	10,25	7,5784	0,	208,77
55	10,25	8,2463	0,	-35,826
56	10,25	8,9142	0,	-169,03
57	10,25	9,5821	0,	-156,34
