Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	1.	0.	0.	114.71
2	0.	1.	0.	2828.4
3	0.95065	0.31026	0.	180.05
4	0.80748	0.5899	0.	749.09
5	0.58461	0.81131	0.	1575.3
6	0.30405	0.95266	0.	2260.6
7	5.	0.	0.	977.39
8	1.3081	0.	0.	203.36
9	1.6688	0.	0.	448.46
10	2.1064	0.	0.	598.25
11	2.6347	0.	0.	751.58
12	3.216	0.	0.	861.32
13	3.8106	0.	0.	924.85
14	4.4051	0.	0.	965.09
15	5.	5.	0.	996.26
16	5.	0.625	0.	985.73
17	5.	1.25	0.	994.
18	5.	1.875	0.	997.43
19	5.	2.5	0.	998.79
20	5.	3.125	0.	998.66
21	5.	3.75	0.	998.92
22	5.	4.375	0.	996.57
23	1.e-015	5.	0.	866.17
24	4.375	5.	0.	991.42
25	3.75	5.	0.	981.33
26	3.125	5.	0.	976.53
27	2.5	5.	0.	966.54
28	1.875	5.	0.	944.98
29	1.25	5.	0.	911.65
30	0.625	5.	0.	897.59
31	7.8036e-016	4.4054	0.	908.07
32	6.7254e-016	3.8108	0.	967.06
33	5.6473e-016	3.2163	0.	1028.
34	4.5931e-016	2.6349	0.	1083.3
35	3.6352e-016	2.1067	0.	1171.4
36	2.8415e-016	1.669	0.	1387.2
37	2.1874e-016	1.3082	0.	1947.7
38	2.5673	2.5	0.	1052.9
39	1.6093	1.5292	0.	1122.7
40	1.3624	3.0993	0.	1052.
41	3.189	1.25	0.	944.33
42	3.0817	3.7484	0.	1001.6
43	3.3782	2.5	0.	1014.1
44	1.5847	0.51298	0.	582.51
45	0.69807	1.2027	0.	1383.5
46	2.0341	0.80195	0.	789.91
47	2.461	3.5606	0.	1021.1
48	0.41224	1.9192	0.	1258.5
49	3.6983	3.9396	0.	994.48
50	1.6225	4.3713	0.	960.48
51	3.8148	0.98112	0.	956.48
52	1.2097	0.82427	0.	803.4
53	2.5246	1.4876	0.	994.54
54	0.879	4.0159	0.	964.81
55	4.1891	2.8125	0.	1001.6
56	4.027	1.8496	0.	992.4
57	1.4298	2.4055	0.	1129.3
58	0.97681	2.6912	0.	1099.8
59	1.6076	1.0473	0.	965.85
60	2.4123	4.2979	0.	979.88
61	1.9503	2.7365	0.	1076.
62	0.38095	1.4554	0.	1495.2
63	2.0268	1.9773	0.	1093.
64	2.9309	0.53392	0.	844.7
65	2.8446	1.9346	0.	1026.9
66	3.6067	3.257	0.	1006.6
67	4.3369	3.5156	0.	999.27
68	1.1551	1.3038	0.	1205.2
69	2.9559	3.0259	0.	1027.2
70	1.9087	3.3536	0.	1032.4
71	4.3862	4.1667	0.	994.73
72	1.5322	3.7839	0.	1004.
73	0.72555	3.1528	0.	1041.4
74	4.3963	0.83333	0.	976.95
75	1.1859	0.44945	0.	367.96
76	3.0644	4.4228	0.	983.04
77	1.2909	1.9134	0.	1185.5
78	4.4954	1.5885	0.	992.05
79	0.76391	1.5932	0.	1309.4
80	3.5043	0.52083	0.	907.23
81	4.4954	2.2135	0.	996.9
82	1.9984	3.8762	0.	997.02
83	3.4345	1.901	0.	997.07
84	2.4007	3.001	0.	1052.1
85	1.0613	3.6267	0.	1003.
86	2.4021	0.46939	0.	750.08
87	4.0277	0.45559	0.	942.46
88	2.5125	0.9702	0.	893.65
89	1.995	0.41049	0.	613.1
90	2.0524	1.3117	0.	989.04
91	1.0262	4.4674	0.	934.89
92	3.669	4.5736	0.	985.6
93	0.91402	2.203	0.	1170.8
94	0.45225	2.5954	0.	1106.2
95	0.56886	3.6769	0.	987.52
96	0.891	0.94639	0.	1133.9
97	3.6893	1.4714	0.	969.13
98	4.0149	2.3234	0.	1002.3
99	0.39353	1.1461	0.	1774.6
100	0.51126	4.2476	0.	943.32
101	1.2274	4.0607	0.	974.3
102	4.0822	1.3555	0.	973.71
