Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	1.	0.	0.	1.3125e-003
2	0.	1.	0.	0.
3	0.95065	0.31026	0.	1.2626e-003
4	0.80748	0.5899	0.	1.0561e-003
5	0.58461	0.81131	0.	7.4602e-004
6	0.30405	0.95266	0.	3.8315e-004
7	5.	0.	0.	2.5939e-003
8	1.3081	0.	0.	1.3754e-003
9	1.6688	0.	0.	1.4269e-003
10	2.1064	0.	0.	1.5201e-003
11	2.6347	0.	0.	1.6746e-003
12	3.216	0.	0.	1.8801e-003
13	3.8106	0.	0.	2.1109e-003
14	4.4051	0.	0.	2.3553e-003
15	5.	5.	0.	2.1424e-003
16	5.	0.625	0.	2.578e-003
17	5.	1.25	0.	2.5321e-003
18	5.	1.875	0.	2.4682e-003
19	5.	2.5	0.	2.3965e-003
20	5.	3.125	0.	2.327e-003
21	5.	3.75	0.	2.2599e-003
22	5.	4.375	0.	2.1991e-003
23	1.e-015	5.	0.	0.
24	4.375	5.	0.	1.8592e-003
25	3.75	5.	0.	1.5796e-003
26	3.125	5.	0.	1.3013e-003
27	2.5	5.	0.	1.0258e-003
28	1.875	5.	0.	7.5508e-004
29	1.25	5.	0.	4.9422e-004
30	0.625	5.	0.	2.4503e-004
31	7.8036e-016	4.4054	0.	0.
32	6.7254e-016	3.8108	0.	0.
33	5.6473e-016	3.2163	0.	0.
34	4.5931e-016	2.6349	0.	0.
35	3.6352e-016	2.1067	0.	0.
36	2.8415e-016	1.669	0.	0.
37	2.1874e-016	1.3082	0.	0.
38	2.5673	2.5	0.	1.2831e-003
39	1.6093	1.5292	0.	9.5907e-004
40	1.3624	3.0993	0.	6.309e-004
41	3.189	1.25	0.	1.7643e-003
42	3.0817	3.7484	0.	1.3912e-003
43	3.3782	2.5	0.	1.6681e-003
44	1.5847	0.51298	0.	1.3104e-003
45	0.69807	1.2027	0.	5.2592e-004
46	2.0341	0.80195	0.	1.3702e-003
47	2.461	3.5606	0.	1.1216e-003
48	0.41224	1.9192	0.	2.1319e-004
49	3.6983	3.9396	0.	1.6529e-003
50	1.6225	4.3713	0.	6.8892e-004
51	3.8148	0.98112	0.	2.0556e-003
52	1.2097	0.82427	0.	1.0285e-003
53	2.5246	1.4876	0.	1.4274e-003
54	0.879	4.0159	0.	3.7847e-004
55	4.1891	2.8125	0.	1.9994e-003
56	4.027	1.8496	0.	2.0463e-003
57	1.4298	2.4055	0.	7.1313e-004
58	0.97681	2.6912	0.	4.6516e-004
59	1.6076	1.0473	0.	1.1102e-003
60	2.4123	4.2979	0.	1.0423e-003
61	1.9503	2.7365	0.	9.4553e-004
62	0.38095	1.4554	0.	2.4322e-004
63	2.0268	1.9773	0.	1.0836e-003
64	2.9309	0.53392	0.	1.7465e-003
65	2.8446	1.9346	0.	1.4985e-003
66	3.6067	3.257	0.	1.6827e-003
67	4.3369	3.5156	0.	1.9849e-003
68	1.1551	1.3038	0.	7.6497e-004
69	2.9559	3.0259	0.	1.4064e-003
70	1.9087	3.3536	0.	8.7686e-004
71	4.3862	4.1667	0.	1.9411e-003
72	1.5322	3.7839	0.	6.7876e-004
73	0.72555	3.1528	0.	3.2926e-004
74	4.3963	0.83333	0.	2.3145e-003
75	1.1859	0.44945	0.	1.2383e-003
76	3.0644	4.4228	0.	1.3234e-003
77	1.2909	1.9134	0.	6.9743e-004
78	4.4954	1.5885	0.	2.2821e-003
79	0.76391	1.5932	0.	4.4985e-004
80	3.5043	0.52083	0.	1.9713e-003
81	4.4954	2.2135	0.	2.2084e-003
82	1.9984	3.8762	0.	8.8593e-004
83	3.4345	1.901	0.	1.7741e-003
84	2.4007	3.001	0.	1.1426e-003
85	1.0613	3.6267	0.	4.6944e-004
86	2.4021	0.46939	0.	1.5645e-003
87	4.0277	0.45559	0.	2.1842e-003
88	2.5125	0.9702	0.	1.5246e-003
89	1.995	0.41049	0.	1.4453e-003
90	2.0524	1.3117	0.	1.2418e-003
91	1.0262	4.4674	0.	4.282e-004
92	3.669	4.5736	0.	1.5808e-003
93	0.91402	2.203	0.	4.569e-004
94	0.45225	2.5954	0.	2.1071e-004
95	0.56886	3.6769	0.	2.4919e-004
96	0.891	0.94639	0.	7.9929e-004
97	3.6893	1.4714	0.	1.9496e-003
98	4.0149	2.3234	0.	1.98e-003
99	0.39353	1.1461	0.	3.5503e-004
100	0.51126	4.2476	0.	2.161e-004
101	1.2274	4.0607	0.	5.2989e-004
102	4.0822	1.3555	0.	2.131e-003
