Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	1.	0.	0.	0.
2	0.	1.	0.	-4.1531e-004
3	0.95065	0.31026	0.	-1.17e-004
4	0.80748	0.5899	0.	-2.3019e-004
5	0.58461	0.81131	0.	-3.5742e-004
6	0.30405	0.95266	0.	-4.3866e-004
7	5.	0.	0.	0.
8	1.3081	0.	0.	0.
9	1.6688	0.	0.	0.
10	2.1064	0.	0.	0.
11	2.6347	0.	0.	0.
12	3.216	0.	0.	0.
13	3.8106	0.	0.	0.
14	4.4051	0.	0.	0.
15	5.	5.	0.	-7.6683e-004
16	5.	0.625	0.	-5.5661e-005
17	5.	1.25	0.	-1.2071e-004
18	5.	1.875	0.	-2.0153e-004
19	5.	2.5	0.	-2.9894e-004
20	5.	3.125	0.	-4.0872e-004
21	5.	3.75	0.	-5.2546e-004
22	5.	4.375	0.	-6.4565e-004
23	1.e-015	5.	0.	-1.1371e-003
24	4.375	5.	0.	-8.238e-004
25	3.75	5.	0.	-8.7875e-004
26	3.125	5.	0.	-9.3369e-004
27	2.5	5.	0.	-9.9003e-004
28	1.875	5.	0.	-1.0459e-003
29	1.25	5.	0.	-1.0938e-003
30	0.625	5.	0.	-1.1295e-003
31	7.8036e-016	4.4054	0.	-1.0395e-003
32	6.7254e-016	3.8108	0.	-9.3822e-004
33	5.6473e-016	3.2163	0.	-8.4138e-004
34	4.5931e-016	2.6349	0.	-7.4743e-004
35	3.6352e-016	2.1067	0.	-6.7618e-004
36	2.8415e-016	1.669	0.	-6.2118e-004
37	2.1874e-016	1.3082	0.	-5.6607e-004
38	2.5673	2.5	0.	-4.7489e-004
39	1.6093	1.5292	0.	-3.0999e-004
40	1.3624	3.0993	0.	-7.2648e-004
41	3.189	1.25	0.	-1.8534e-004
42	3.0817	3.7484	0.	-6.9704e-004
43	3.3782	2.5	0.	-4.2184e-004
44	1.5847	0.51298	0.	-5.4974e-005
45	0.69807	1.2027	0.	-4.0154e-004
46	2.0341	0.80195	0.	-1.0162e-004
47	2.461	3.5606	0.	-7.154e-004
48	0.41224	1.9192	0.	-6.1994e-004
49	3.6983	3.9396	0.	-6.802e-004
50	1.6225	4.3713	0.	-9.5147e-004
51	3.8148	0.98112	0.	-1.3647e-004
52	1.2097	0.82427	0.	-1.5169e-004
53	2.5246	1.4876	0.	-2.4259e-004
54	0.879	4.0159	0.	-9.4184e-004
55	4.1891	2.8125	0.	-4.2787e-004
56	4.027	1.8496	0.	-2.6627e-004
57	1.4298	2.4055	0.	-5.6569e-004
58	0.97681	2.6912	0.	-6.8672e-004
59	1.6076	1.0473	0.	-1.7026e-004
60	2.4123	4.2979	0.	-8.656e-004
61	1.9503	2.7365	0.	-5.8322e-004
62	0.38095	1.4554	0.	-5.466e-004
63	2.0268	1.9773	0.	-3.8722e-004
64	2.9309	0.53392	0.	-7.0757e-005
65	2.8446	1.9346	0.	-3.3042e-004
66	3.6067	3.257	0.	-5.5569e-004
67	4.3369	3.5156	0.	-5.4451e-004
68	1.1551	1.3038	0.	-3.0494e-004
69	2.9559	3.0259	0.	-5.6093e-004
70	1.9087	3.3536	0.	-7.2371e-004
71	4.3862	4.1667	0.	-6.63e-004
72	1.5322	3.7839	0.	-8.4684e-004
73	0.72555	3.1528	0.	-7.9985e-004
74	4.3963	0.83333	0.	-1.0201e-004
75	1.1859	0.44945	0.	-8.4118e-005
76	3.0644	4.4228	0.	-8.2936e-004
77	1.2909	1.9134	0.	-4.5866e-004
78	4.4954	1.5885	0.	-2.0047e-004
79	0.76391	1.5932	0.	-4.8483e-004
80	3.5043	0.52083	0.	-7.1137e-005
81	4.4954	2.2135	0.	-2.9826e-004
82	1.9984	3.8762	0.	-8.2206e-004
83	3.4345	1.901	0.	-3.0221e-004
84	2.4007	3.001	0.	-6.0217e-004
85	1.0613	3.6267	0.	-8.5837e-004
86	2.4021	0.46939	0.	-5.4816e-005
87	4.0277	0.45559	0.	-5.9447e-005
88	2.5125	0.9702	0.	-1.3566e-004
89	1.995	0.41049	0.	-4.5523e-005
90	2.0524	1.3117	0.	-2.1564e-004
91	1.0262	4.4674	0.	-1.015e-003
92	3.669	4.5736	0.	-8.0441e-004
93	0.91402	2.203	0.	-5.9462e-004
94	0.45225	2.5954	0.	-7.248e-004
95	0.56886	3.6769	0.	-8.9935e-004
96	0.891	0.94639	0.	-2.7273e-004
97	3.6893	1.4714	0.	-2.1594e-004
98	4.0149	2.3234	0.	-3.4977e-004
99	0.39353	1.1461	0.	-4.7821e-004
100	0.51126	4.2476	0.	-1.0008e-003
101	1.2274	4.0607	0.	-9.2595e-004
102	4.0822	1.3555	0.	-1.8562e-004
