Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	3,0615e-017	1,	0,	0,
2	0,	3,	0,	0,
3	0,	1,0761	0,	0,
4	0,	1,1589	0,	0,
5	0,	1,2616	0,	0,
6	0,	1,3873	0,	0,
7	0,	1,54	0,	0,
8	0,	1,7265	0,	0,
9	0,	1,9524	0,	0,
10	0,	2,2292	0,	0,
11	0,	2,5752	0,	0,
12	1,	0,	0,	1,6764e-004
13	0,99692	7,8486e-002	0,	1,6756e-004
14	0,98768	0,15648	0,	1,6611e-004
15	0,97235	0,23351	0,	1,6356e-004
16	0,95103	0,30909	0,	1,6002e-004
17	0,92385	0,38277	0,	1,5548e-004
18	0,89096	0,45408	0,	1,5005e-004
19	0,85258	0,52259	0,	1,4368e-004
20	0,80893	0,5879	0,	1,3632e-004
21	0,7603	0,64957	0,	1,2833e-004
22	0,70699	0,70723	0,	1,195e-004
23	0,64931	0,76052	0,	1,1e-004
24	0,58763	0,80913	0,	9,9738e-005
25	0,52228	0,85277	0,	8,8513e-005
26	0,45373	0,89114	0,	7,7161e-005
27	0,38239	0,924	0,	6,5081e-005
28	0,30867	0,95117	0,	5,2261e-005
29	0,23308	0,97246	0,	3,9837e-005
30	0,15605	0,98775	0,	2,6888e-005
31	7,8064e-002	0,99695	0,	1,3214e-005
32	10,	0,	0,	5,4396e-004
33	9,321	0,	0,	5,1005e-004
34	8,642	0,	0,	4,7616e-004
35	7,9631	0,	0,	4,4234e-004
36	7,2841	0,	0,	4,0869e-004
37	6,6051	0,	0,	3,753e-004
38	5,9261	0,	0,	3,423e-004
39	5,2471	0,	0,	3,0993e-004
40	4,5747	0,	0,	2,7885e-004
41	3,9309	0,	0,	2,5039e-004
42	3,3332	0,	0,	2,2563e-004
43	2,8371	0,	0,	2,0688e-004
44	2,4304	0,	0,	1,9326e-004
45	2,0985	0,	0,	1,8384e-004
46	1,8275	0,	0,	1,7771e-004
47	1,6086	0,	0,	1,7404e-004
48	1,4305	0,	0,	1,7196e-004
49	1,2889	0,	0,	1,7067e-004
50	1,1744	0,	0,	1,7025e-004
51	1,0804	0,	0,	1,6915e-004
52	10,	3,	0,	5,4435e-004
53	10,	2,25	0,	5,4416e-004
54	10,	1,5	0,	5,4403e-004
55	10,	0,75	0,	5,4397e-004
56	0,48836	3,	0,	2,2103e-005
57	0,99276	3,	0,	4,8397e-005
58	1,5215	3,	0,	8,0146e-005
59	2,0895	3,	0,	1,1717e-004
60	2,6976	3,	0,	1,5721e-004
61	3,3349	3,	0,	1,9743e-004
62	3,998	3,	0,	2,3652e-004
63	4,665	3,	0,	2,7352e-004
64	5,3319	3,	0,	3,0899e-004
65	5,9988	3,	0,	3,4349e-004
66	6,6658	3,	0,	3,7739e-004
67	7,3327	3,	0,	4,1096e-004
68	7,9996	3,	0,	4,4436e-004
69	8,6666	3,	0,	4,7771e-004
70	9,3335	3,	0,	5,1103e-004
71	1,3994	1,8066	0,	9,5949e-005
72	1,1821	1,141	0,	1,0621e-004
73	0,59624	1,3239	0,	5,2609e-005
74	1,2804	0,57109	0,	1,4924e-004
75	1,7862	0,93889	0,	1,5063e-004
