Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	3,0615e-017	1,	0,	-6,7316e-005
2	0,	3,	0,	-9,5155e-005
3	0,	1,0761	0,	-7,1042e-005
4	0,	1,1589	0,	-7,3291e-005
5	0,	1,2616	0,	-7,5082e-005
6	0,	1,3873	0,	-7,6484e-005
7	0,	1,54	0,	-7,7732e-005
8	0,	1,7265	0,	-7,9117e-005
9	0,	1,9524	0,	-8,1062e-005
10	0,	2,2292	0,	-8,398e-005
11	0,	2,5752	0,	-8,8555e-005
12	1,	0,	0,	0,
13	0,99692	7,8486e-002	0,	-4,8886e-006
14	0,98768	0,15648	0,	-9,756e-006
15	0,97235	0,23351	0,	-1,4684e-005
16	0,95103	0,30909	0,	-1,9491e-005
17	0,92385	0,38277	0,	-2,4183e-005
18	0,89096	0,45408	0,	-2,8768e-005
19	0,85258	0,52259	0,	-3,3297e-005
20	0,80893	0,5879	0,	-3,7774e-005
21	0,7603	0,64957	0,	-4,1891e-005
22	0,70699	0,70723	0,	-4,5916e-005
23	0,64931	0,76052	0,	-4,963e-005
24	0,58763	0,80913	0,	-5,3024e-005
25	0,52228	0,85277	0,	-5,6474e-005
26	0,45373	0,89114	0,	-5,9475e-005
27	0,38239	0,924	0,	-6,1998e-005
28	0,30867	0,95117	0,	-6,4096e-005
29	0,23308	0,97246	0,	-6,5541e-005
30	0,15605	0,98775	0,	-6,665e-005
31	7,8064e-002	0,99695	0,	-6,757e-005
32	10,	0,	0,	0,
33	9,321	0,	0,	0,
34	8,642	0,	0,	0,
35	7,9631	0,	0,	0,
36	7,2841	0,	0,	0,
37	6,6051	0,	0,	0,
38	5,9261	0,	0,	0,
39	5,2471	0,	0,	0,
40	4,5747	0,	0,	0,
41	3,9309	0,	0,	0,
42	3,3332	0,	0,	0,
43	2,8371	0,	0,	0,
44	2,4304	0,	0,	0,
45	2,0985	0,	0,	0,
46	1,8275	0,	0,	0,
47	1,6086	0,	0,	0,
48	1,4305	0,	0,	0,
49	1,2889	0,	0,	0,
50	1,1744	0,	0,	0,
51	1,0804	0,	0,	0,
52	10,	3,	0,	-4,4985e-005
53	10,	2,25	0,	-3,3729e-005
54	10,	1,5	0,	-2,2459e-005
55	10,	0,75	0,	-1,1216e-005
56	0,48836	3,	0,	-9,0466e-005
